"","HHID","hhsize","hhsize_ae","dep_ratio","hh_head_age","hh_head_sex","hh_head_sch","hh_head_read","comm","stratum","urban","int_month","int_year","sh_tof_w_b","sh_tof_wo_b","sh_fruit_w_b","sh_fruit_wo_b","sh_cash","land_size","exp_food","exp_food_pur","exp_food_away","exp_food_own","exp_food_free","exp_nodurable","exp_durable","tot_exp","self_con_fruit","self_con_cash","self_con_other","harv_q_fruit","harv_q_cash","harv_q_other","inc_fruit","inc_cash","inc_other","inc_ag_total","share_fruit","share_treesonfarm","lvst_large","lvst_small","lvst_poul","wave"
"11434","4103002609",8,5.86,1.66666666666667,43,0,NA,1,"41030026","Western",0,9,2012,1,0,1,0,0,1,49760.749749,49760.749749,0,0,0,1159762.49415,335042.49831,4082363.979408,1,0,0,101,0,0,0,0,0,0,0,0,0,0,0,"12"
"11435","4103002610",14,11.13,1.33333333333333,48,0,NA,1,"41030026","Western",0,10,2012,0.261363632053383,0,0.261363632053383,0,0,4.40000009536743,38980.906053375,15190.906173375,0,23789.99988,0,4611691.476738,2619873.736785,9576862.701693,0.550697760889939,0,0.55,663,0,181,1685124.9915,0,99124.9995,1784249.991,0.944444444444444,0.944444444444444,26,6,0,"12"
"11436","4103002612",10,9.03,0.428571428571429,45,0,NA,1,"41030026","Western",0,10,2012,0.90476190374822,0,0.90476190374822,0,0,2.1000000089407,49389.031000875,26193.781117875,0,23195.249883,0,6274612.46835,316506.1234035,9159348.203799,0.457251956267906,0,0.25,1442,0,1,5005812.47475,0,0,5005812.47475,1,1,30,0,0,"12"
"11437","4103002901",10,8.32,1,40,0,NA,1,"41030029","Western",0,7,2012,0.500000003104409,0,0.500000003104409,0,0,2.40000008046627,97737.249507,991.249995,0,96745.999512,0,849302.995716,553613.1222075,6485253.0922875,0.541443477290481,0,0.528869047619048,665,0,749,491659.99752,0,208162.49895,699822.49647,0.702549575070821,0.702549575070821,0,0,0,"12"
"11438","4103002902",10,8.85,1,75,1,NA,1,"41030029","Western",0,7,2012,0.588235293086425,0,0.588235293086425,0,0,3.40000000596046,96052.1245155,53527.49973,0,41037.749793,1486.8749925,505537.49745,470447.247627,5970695.219883,0.757777777777778,0,0.842592592592593,362,0,135,39649.9998,0,10903.749945,50553.749745,0.784313725490196,0.784313725490196,0,6,2,"12"
"11439","4103002903",10,8.65,0.666666666666667,44,0,NA,1,"41030029","Western",0,7,2012,0.624999975164732,0,0.624999975164732,0,0,1.20000004768372,45151.43727225,30381.81234675,0,14769.6249255,0,3151580.234103,1914103.740345,7413558.712605,0.510658221925485,0,0.833333333333333,508,0,31,1328274.9933,0,0,1328274.9933,1,1,0,0,0,"12"
"11440","410300290303",6,4.29,1,32,0,NA,1,"41030029","Western",0,10,2012,0.666666666666667,0,0.666666666666667,0,0,3,34024.656078375,9739.031200875,0,24285.6248775,0,547169.99724,1016031.244875,3332483.3581905,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,"12"
"11441","4103002904",5,3.98,1.5,36,0,NA,1,"41030029","Western",0,12,2011,0.320000002861023,0,0.320000002861023,0,0,2.50000001490116,61011.43719225,16405.18741725,0,44606.249775,0,333059.99832,29737.49985,3535392.232167,0.441966578891875,0,0.719642854872204,1011,0,167.5,2795324.9859,0,344954.99826,3140279.98416,0.890151515151515,0.890151515151515,4,0,10,"12"
"11442","410300290503",4,2.79,1,32,0,NA,1,"41030029","Western",0,7,2012,0.5,0,0.5,0,0,2,12935.81243475,2527.68748725,0,10408.1249475,0,805291.495938,305304.99846,1783258.741005,0.612774536719286,0,0.607401960784314,312,0,102,267637.49865,0,359228.998188,626866.496838,0.426944971537002,0.426944971537002,0,2,3,"12"
"11443","4103002906",9,6.92,2,75,1,NA,1,"41030029","Western",0,12,2011,0.3,0,0.3,0,0,2.5,93673.1245275,45101.8747725,0,48571.249755,0,460336.497678,446062.49775,5777401.470858,0.676817587419119,0,0.696969696969697,754,0,136.5,1328274.9933,0,277549.9986,1605824.9919,0.827160493827161,0.827160493827161,18,0,0,"12"
"11444","4103002907",17,14.57,0.307692307692308,53,0,NA,1,"41030029","Western",0,12,2011,0.71875,0.15625,0.5625,0,0.15625,8,65422.49967,26268.1248675,0,39154.3748025,0,2845283.985648,3301853.733345,10837732.695333,0.445400362568406,0,0.596629560915275,983,15,253.5,2160924.9891,317199.9984,128862.49935,2606987.48685,0.828897338403042,0.950570342205323,7,14,15,"12"
"11445","4103002908",8,7.45,0.333333333333333,46,1,NA,1,"41030029","Western",0,12,2011,0.705882352941177,0,0.705882352941177,0,0,4.25,51049.3747425,19824.9999,0,31224.3748425,0,517432.49739,0,3171999.984,0.618788819875776,0,0.642455165302893,920,0,81,1685124.9915,0,693874.9965,2378999.988,0.708333333333333,0.708333333333333,0,0,0,"12"
"11446","4103002909",7,6.68,0.166666666666667,51,0,NA,1,"41030029","Western",0,12,2011,0.461538461538462,0,0.461538461538462,0,0,6.5,84950.1245715,18833.749905,0,66116.3746665,0,1058654.99466,555099.9972,6031161.469578,0.695944659230823,0,0.552380954083942,980,0,36.5,991249.995,0,128862.49935,1120112.49435,0.884955752212389,0.884955752212389,2,0,5,"12"
"11447","4103002910",10,8.3,0.666666666666667,58,0,NA,1,"41030029","Western",0,7,2012,0.16393442879246,0,0.16393442879246,0,0,6.09999990463257,75384.56211975,7384.81246275,0,67999.749657,0,1656973.491642,2418649.9878,7995620.709669,0.51,0,0.279583333333333,1530,0,542,2641681.236675,0,737489.99628,3379171.232955,0.78175418011147,0.78175418011147,5,8,0,"12"
"11448","4103003802",9,6.05,0.75,53,0,NA,1,"41030038","Western",0,11,2011,0.666666666666667,0.222222222222222,0.444444444444444,0,0.222222222222222,4.5,31422.6248415,9714.249951,0,21708.3748905,0,2575267.48701,2059819.47210999,6269063.45087799,0.755059523809524,0,0.653039832285115,1191,0,146,893195.5454946,0,68396.249655,961591.7951496,0.92887184562098,0.92887184562098,0,1,4,"12"
"11449","4103003803",8,6.32,1,44,0,NA,1,"41030038","Western",0,6,2012,0.619047616006566,0.0952380942244108,0.523809521782155,0,0.0952380942244108,4.20000010728836,92681.8745325,5451.8749725,0,87229.99956,0,804101.995944,999179.99496,6622739.466594,0.388888888888889,0,0.827777777777778,672,4,106,2963837.48505,237899.9988,109037.49945,3310774.9833,0.895209580838323,0.967065868263473,3,0,0,"12"
"11450","4103003805",8,6.35,3,47,0,NA,1,"41030038","Western",0,11,2011,0.5,0.0909090909090909,0.409090909090909,0,0.0909090909090909,11,59772.3746985,31026.1248435,0,28746.249855,0,948031.495218,939704.99526,4995899.9748,0.462280644547014,0,0.459375,1252,5,2315.5,4202899.9788,337024.9983,1209324.9939,5749249.971,0.731034482758621,0.789655172413793,0,9,0,"12"
"11451","4103003806",6,4.74,2,36,0,NA,1,"41030038","Western",0,6,2012,0.944444444444444,0.444444444444444,0.5,0,0.444444444444444,4.5,101256.18698925,74591.56212375,0,24483.8748765,2180.749989,1178794.494054,549548.997228,6993665.214723,0.249810066476733,0,0.891111106342739,888,3,60.5,4095844.97934,35684.99982,0,4131529.97916,0.991362763915547,1,0,0,0,"12"
"11452","4103003807",8,5.95,3,42,0,NA,1,"41030038","Western",0,6,2012,0.75,0.25,0.5,0,0.25,2,46291.3747665,22501.3748865,0,23789.99988,0,1303691.993424,1064602.49463,4775445.975912,0.401689105293032,0,0.5,868,2,1,3171999.984,138774.9993,0,3310774.9833,0.958083832335329,1,2,0,0,"12"
"11453","4103003808",5,3.77,1.5,36,0,NA,1,"41030038","Western",0,6,2012,0.263157893911293,0,0.263157893911293,0,0,3.80000001192093,33157.31233275,10358.56244775,0,19824.9999,2973.749985,399671.997984,453992.49771,2577844.736997,0.536969838440427,0,0.810976073476073,610,0,326,2041974.9897,0,0,2041974.9897,1,1,0,2,1,"12"
"11454","410300380804",7,6.4,0.166666666666667,54,0,NA,1,"41030038","Western",0,8,2012,0.8,0.4,0.4,0,0.4,2.5,30530.499846,792.999996,3964.99998,25772.49987,0,397292.997996,573438.1221075,2558317.1120955,0.65977550440466,0,0.875,364,14,10,0,97142.49951,0,97142.49951,0,1,0,0,0,"12"
"11455","4103003809",7,5.4,2.5,NA,NA,NA,NA,"41030038","Western",0,6,2012,0.464285714095648,0,0.464285714095648,0,0,2.80000002682209,47332.18726125,247.81249875,0,47084.3747625,0,507940.28743788,338016.248295,3307230.27331788,0.458356676003735,0,0.855897435698754,655,0,182,2696199.9864,0,64431.249675,2760631.236075,0.976660682226212,0.976660682226212,0,0,0,"12"
"11456","4103003811",2,2,1,78,0,NA,NA,"41030038","Western",0,11,2011,0.499999994678157,0,0.499999994678157,0,0,1.40000002086163,17247.749913,6542.249967,0,10705.499946,0,118949.9994,139766.249295,1155599.244171,0.96078431372549,0,0.485,204,0,34,59474.9997,0,29737.49985,89212.49955,0.666666666666667,0.666666666666667,3,2,0,"12"
"11457","4103003812",6,5.23,0.5,54,0,NA,1,"41030038","Western",0,11,2011,0.813008130606602,0,0.813008130606602,0,0,3.68999999761581,70477.8746445,7830.8749605,0,62646.999684,0,482936.997564,1009092.49491,5156878.973988,0.5376617846793,0,0.882440476190476,1847,0,128,1932937.49025,0,0,1932937.49025,1,1,0,6,2,"12"
"11458","4111000202",9,8.7,0.125,62,0,NA,1,"41110002","Western",1,4,2012,0,0,0,0,0,0,64679.06217375,64679.06217375,0,0,0,4000288.479822,4588496.226855,11952095.939712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12"
"11459","4111000203",6,4.37,2,44,0,NA,1,"41110002","Western",1,9,2012,0.976923076006082,0.384615384615385,0.592307691390698,0,0.384615384615385,6.5,74888.93712225,42475.06228575,0,32413.8748365,0,4831748.975628,316506.1234035,9042479.8293885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12"
"11460","4111000204",4,4,0,44,1,NA,1,"41110002","Western",1,3,2012,0,0,0,0,0,0,49190.781001875,35486.749821,0,8747.781205875,4956.249975,4978057.47489,2907336.235335,10443314.3223225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12"
"11461","4111000205",3,3,0,57,1,NA,1,"41110002","Western",1,3,2012,0,0,0,0,0,0,58285.499706,47877.3747585,0,0,10408.1249475,2583593.986968,2299699.9884,7914139.96008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12"
"11462","4111000207",1,1,0,45,0,NA,1,"41110002","Western",1,9,2012,0,0,0,0,0,0,45597.49977,45597.49977,0,0,0,4674734.97642,491659.99752,7537464.96198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12"
"11463","4111000209",3,2.52,0.5,62,0,NA,1,"41110002","Western",1,9,2012,0.666666666666667,0,0.666666666666667,0,0,1.5,41037.749793,31125.249843,0,9912.49995,0,2049508.489662,165538.749165,4349010.228063,0.82,0,1,208,300,6,19824.9999,297374.9985,0,317199.9984,0.0625,1,0,0,0,"12"
"11464","4111000210",10,8.29,1,59,0,NA,1,"41110002","Western",1,9,2012,0.01,0,0.01,0,0,50,67950.18715725,21361.43739225,0,46588.749765,0,707752.49643,4302817.978296,8543980.206903,0.883854728514923,0,0.360661764705882,416,0,640,0,0,797956.245975,797956.245975,0,0,96,32,0,"12"
"11465","4111000211",11,9.95,0.375,54,0,NA,1,"41110002","Western",1,9,2012,0.5,0,0.5,0,0,8,55212.6247215,31719.99984,0,23492.6248815,0,1731911.991264,3341008.1081475,12474782.0620755,0.572370005473454,0,0.695448140242184,1740,0,602,2468212.48755,0,565012.49715,3033224.9847,0.813725490196078,0.813725490196078,4,6,3,"12"
